P0,P1,P2,P3,P4
BLUE BUNNY LIGHT,81830381001,0.375,BLACKBERRY CREME,FAT FREE
BLUE BUNNY LIGHT,81830381017,0.375,BOSTON CREAM PIE,FAT FREE
BLUE BUNNY LIGHT,81830381020,0.375,CHERRY,FAT FREE
BLUE BUNNY LIGHT,81830381008,0.375,MISSING,FAT FREE
BLUE BUNNY LIGHT,81830381007,0.375,KEY LIME PIE,FAT FREE
BLUE BUNNY LIGHT,81830381012,0.375,MISSING,FAT FREE
BLUE BUNNY LIGHT,81830381011,0.375,MISSING,NONFAT
BLUE BUNNY LIGHT,81830381002,0.375,PEACH PASSION,FAT FREE
BLUE BUNNY LIGHT,81830381014,0.375,MISSING,FAT FREE
BLUE BUNNY LIGHT,81830381006,0.375,RASPBERRY,FAT FREE
BLUE BUNNY LIGHT,81830381013,0.375,RASPBERRY CRANBERRY,FAT FREE
BLUE BUNNY LIGHT,81830381010,0.375,MISSING,FAT FREE
BLUE BUNNY LIGHT,81830381009,0.375,STRAWBERRY SENSATION,FAT FREE
BLUE BUNNY LIGHT,81830381024,1.5,STRAWBERRY SENSATION,NONFAT
BLUE BUNNY LIGHT,81830381003,0.375,VANILLA CREME,FAT FREE
BLUE BUNNY LIGHT,81830381023,1.5,VANILLA CREME,NONFAT
BLUE BUNNY LIGHT,81830381015,0.375,WHITE CRNBRY STRWBRY,FAT FREE
LA CREME,8183038256,1,PEACH,REGULAR
LA CREME,8183038257,1,RASPBERRY,REGULAR
LA CREME,8183038258,1,STRAWBERRY,REGULAR
LA CREME,01366324501,1,STRAWBERRY,REGULAR
LA CREME,8183038259,1,VANILLA,LOW FAT
WEIGHT WATCHERS,017064050214,0.375,AMARETTO CHEESECAKE,NONFAT
WEIGHT WATCHERS,81830382012,0.375,AMARETTO CHEESECAKE,NONFAT
WEIGHT WATCHERS,81830382023,0.375,APPLE PIE A LA MODE,NONFAT
WEIGHT WATCHERS,81830382024,0.375,MISSING,NONFAT
WEIGHT WATCHERS,027064050208,0.375,BLACK CHERRY,NONFAT
WEIGHT WATCHERS,81830382003,0.375,BLACK CHERRY,NONFAT
WEIGHT WATCHERS,81830382015,1,BLACK CHERRY,NONFAT
WEIGHT WATCHERS,017064050215,0.375,MISSING,NONFAT
WEIGHT WATCHERS,81830382004,0.375,MISSING,NONFAT
WEIGHT WATCHERS,017064074,0.375,BOSTON CREAM PIE,NONFAT
WEIGHT WATCHERS,81830382006,0.375,BOSTON CREAM PIE,NONFAT
WEIGHT WATCHERS,81830382009,0.375,CHERRY CHEESECAKE,NONFAT
WEIGHT WATCHERS,81830382013,0.375,KEY LIME PIE,NONFAT
WEIGHT WATCHERS,81830382007,0.375,LEMON CREAM PIE,NONFAT
WEIGHT WATCHERS,81830382014,1,LEMON CREAM PIE,NONFAT
WEIGHT WATCHERS,81830382021,2,PLAIN,NONFAT
WEIGHT WATCHERS,017064050203,0.375,PEACH,NONFAT
WEIGHT WATCHERS,81830382010,0.375,PEACH,NONFAT
WEIGHT WATCHERS,81830382016,1,PEACH,NONFAT
WEIGHT WATCHERS,81830382005,0.375,RASPBERRY,NONFAT
WEIGHT WATCHERS,017064050205,0.375,STRAWBERRY,NONFAT
WEIGHT WATCHERS,81830382008,0.375,STRAWBERRY,NONFAT
WEIGHT WATCHERS,81830382020,1,STRAWBERRY,NONFAT
WEIGHT WATCHERS,81830382017,1,STRAWBERRY SHORTCAKE,NONFAT
WEIGHT WATCHERS,81830382011,0.375,STRAWBERRY BANANA,NONFAT
WEIGHT WATCHERS,017064050207,0.375,VANILLA,NONFAT
WEIGHT WATCHERS,81830382002,0.375,VANILLA,NONFAT
WEIGHT WATCHERS,81830382019,1,VANILLA,NONFAT
WEIGHT WATCHERS,81830382022,2,VANILLA,NONFAT
WEIGHT WATCHERS,81830382018,1,MISSING,FAT FREE
WEIGHT WATCHERS,81830382001,0.375,WHITE CHOC RASPBERRY,NONFAT
LALA,818303810,0.375,APPLE,LOW FAT
LALA,818303811,0.375,COCONUT,LOW FAT
LALA,818303815,0.375,MANGO,LOW FAT
LALA,818303823,2,MANGO,LOW FAT
LALA,81830388,0.375,PEACH,LOW FAT
LALA,818303821,2,PEACH,LOW FAT
LALA,8183038190,0.375,PINA COLADA,LOW FAT
LALA,8183038204,2,PINA COLADA,REDUCED FAT
LALA,81830389,0.375,PLAIN,LOW FAT
LALA,8183038238,2,PLAIN,1% MILKFAT
LALA,81830387,0.375,STRAWBERRY,LOW FAT
LALA,818303820,2,STRAWBERRY,LOW FAT
LALA,818303834,0.375,STRAWBERRY BANANA,LOW FAT
LALA,818303837,2,STRAWBERRY BANANA,LOW FAT
LALA LIGHT,8183038112,0.375,MANGO,NONFAT
LALA LIGHT,8183038110,0.375,STRAWBERRY,NONFAT
YOMI LALA,8183038132,1,GREEN APPLE,LOW FAT
YOMI LALA,8183038131,1,STRAWBERRY,LOW FAT
YOMI LALA,8183038135,1.125,STRAWBERRY & GRAPE,LOW FAT
YOMI LALA,8183038134,1.125,STRAWBERRY GREN APLE,LOW FAT
LIBERTE,016568465638,0.375,COCONUT,LOW FAT
LIBERTE,0165684929,0.375,HONEY,2.4% MILKFAT
LIBERTE,016568465637,0.375,LEMON,LOW FAT
LIBERTE,016568465461,0.375,PLAIN,LOW FAT
LIBERTE,01656841910,1.6875,PLAIN,LOW FAT
LIBERTE,026568465431,0.375,MISSING,WHOLE
LIBERTE,0165684927,0.375,RASPBERRY,2.3% MILK FAT
LIBERTE,0165684926,0.375,STRAWBERRY,2.3% MILK FAT
LIBERTE,016568465430,0.375,STRAWBERRY,LOW FAT
LIBERTE,0165684928,0.375,VANILLA,2.3% MILK FAT
LIBERTE,016568465434,0.375,WILD BLACKBERRY,WHOLE
LIBERTE MEDITERRANEE,016568465640,0.375,APPLE CRUMBLE,LOW FAT
LIBERTE MEDITERRANEE,016568465639,0.375,FRENCH VANILLA,LOW FAT
LIBERTE MEDITERRANEE,016568465432,0.375,PEACH PASSION FRUIT,WHOLE
LIBERTE SIX GRAINS,026568465412,0.375,PEACH,1.5% MILKFAT
LIBERTE SIX GRAINS,026568465411,0.375,PEAR,1.5% MILKFAT
LIBERTE SIX GRAINS,026568465413,0.375,RASPBERRY,2.5% MILKFAT
LIBERTE SIX GRAINS,026568465410,0.375,STRAWBERRY,1.5% MILKFAT
LUDWIG DAIRY,0110916149,0.85,BLUEBERRY,LOW FAT
LUDWIG DAIRY,0110916258,0.85,PEACH,LOW FAT
LUDWIG DAIRY,0110916148,0.85,RASPBERRY,WHOLE
LUDWIG DAIRY,0110916147,0.85,STRAWBERRY,LOW FAT
EL MEXICANO,024274312522,0.375,MANGO,LOW FAT
EL MEXICANO,024274312462,0.25,MANGO,LOW FAT
EL MEXICANO,014274312525,0.375,PEACH,LOW FAT
EL MEXICANO,024274312461,0.25,PEACH,LOW FAT
EL MEXICANO,024274312460,0.25,STRAWBERRY,LOW FAT
EL MEXICANO,014274312521,0.375,STRAWBERRY BANANA,LOW FAT
EL MEXICANO,014274312464,0.25,STRAWBERRY BANANA,LOW FAT
EL MEXICANO,014274312569,2,STRAWBERRY BANANA,NONFAT
FIT N FREE,011435310232,0.375,BLUEBERRY,LOW FAT
FIT N FREE,011435310230,0.375,COFFEE,LOW FAT
FIT N FREE,011435310234,0.375,VANILLA,LOW FAT
GIVAT YOGOLITE,011435310261,0.3125,BERRY BLEND,NONFAT
GIVAT YOGOLITE,011435310263,0.3125,COFFEE,NONFAT
GIVAT YOGOLITE,011435310266,0.3125,MIXED BERRY,NONFAT
GIVAT YOGOLITE,011435310264,0.3125,PEACH,NONFAT
GIVAT YOGOLITE,011435310260,0.3125,STRAWBERRY,NONFAT
GIVAT YOGOLITE,011435310262,0.3125,VANILLA,NONFAT
MEHADRIN,021435310204,0.5,BLUEBERRY,LOW FAT
MEHADRIN,011435310253,1,COFFEE,LOW FAT
MEHADRIN,021435310207,0.5,COFFEE,LOW FAT
MEHADRIN,011435310004,0.375,CHOCOLATE,LOW FAT
MEHADRIN,011435310210,0.5,CHERRY VANILLA,LOW FAT
MEHADRIN,011435310001,0.375,PLAIN,LOW FAT
MEHADRIN,021435310201,0.5,PLAIN,LOW FAT
MEHADRIN,021435310251,1,PLAIN,REGULAR
MEHADRIN,021435310209,0.5,RASPBERRY,LOW FAT
MEHADRIN,011435310236,0.375,RASPBERRY,NONFAT
MEHADRIN,011435310002,0.375,STRAWBERRY,LOW FAT
MEHADRIN,021435310202,0.5,STRAWBERRY,LOW FAT
MEHADRIN,021435310203,0.5,STRAWBERRY BANANA,LOW FAT
MEHADRIN,011435310003,0.375,VANILLA,LOW FAT
MEHADRIN,021435310206,0.5,VANILLA,LOW FAT
MEHADRIN,021435310252,1,VANILLA,REGULAR
MEHADRIN FIT N FREE,011435310231,0.375,MIXED BERRY,NONFAT
MEHADRIN FIT N FREE,011435310235,0.375,PEACH,NONFAT
MEHADRIN FIT N FREE,011435310237,0.375,PLAIN,NONFAT
MEHADRIN FIT N FREE,011435310233,0.375,STRAWBERRY,NONFAT
NORMANS DAIRY,819036054,0.3313,BLUEBERRY,NONFAT
NORMANS DAIRY,819036052,0.3313,PEACH,NONFAT
NORMANS DAIRY,819036023,0.875,PLAIN,4.5% FAT
NORMANS DAIRY,819036022,0.875,PLAIN,REGULAR
NORMANS DAIRY,819036057,0.3313,STRAWBERRY,NONFAT
NORMANS DAIRY,819036051,0.3313,VANILLA,NONFAT
DARIGOLD,012640089125,0.375,BLUEBERRY,1% MILKFAT
DARIGOLD,012640089126,0.375,CHERRY,1% MILKFAT
DARIGOLD,012640089127,0.375,LEMON,LOW FAT
DARIGOLD,012640089128,0.375,MARIONBERRY,1% MILKFAT
DARIGOLD,012640089129,0.375,MIXED BERRY,LOW FAT
DARIGOLD,012640089131,0.375,ORANGE,LOW FAT
DARIGOLD,012640089132,0.375,PEACH,1% MILKFAT
DARIGOLD,012640089124,0.375,PLAIN,LOW FAT
DARIGOLD,012640089130,0.375,RASPBERRY,1% MILKFAT
DARIGOLD,012640089133,0.375,STRAWBERRY,1% MILKFAT
DARIGOLD,012640089134,0.375,STRAWBERRY BANANA,LOW FAT
DARIGOLD,012640089135,0.375,VANILLA,1% MILKFAT
OBERWEIS DAIRY,61160293615,0.5,BLACK CHERRY,LOW FAT
OBERWEIS DAIRY,61160293620,0.5,BLUEBERRY,LOW FAT
OBERWEIS DAIRY,61160293626,0.5,FRENCH VANILLA,LOW FAT
OBERWEIS DAIRY,61160293630,0.5,LEMON,LOW FAT
OBERWEIS DAIRY,61160293635,0.5,PEACH,LOW FAT
OBERWEIS DAIRY,61160293640,0.5,RASPBERRY,LOW FAT
OBERWEIS DAIRY,61160293645,0.5,STRAWBERRY,LOW FAT
OLD CHATHAM SHEEPHERDING COMP,613951152344,0.375,BLUEBERRY,LOW FAT
OLD CHATHAM SHEEPHERDING COMP,613951152348,0.375,GINGER,LOW FAT
OLD CHATHAM SHEEPHERDING COMP,613951152346,0.375,MAPLE,MISSING
OLD CHATHAM SHEEPHERDING COMP,613951152345,0.375,PLAIN,MISSING
GAYMONT,0170322339,1.5,KEY LIME,1.5% MILKFAT
GAYMONT,0170322334,1.5,SUGAR COOKIE,LOW FAT
OLD HOME,017032210650,1,PLAIN,LOW FAT
OLD HOME,017032210653,1,PLAIN,NONFAT
OLD HOME,017032210665,2,PLAIN,NONFAT
OLD HOME,0270322616,0.5,PLAIN,NONFAT
OLD HOME,027032210600,0.5,PLAIN,REGULAR
OLD HOME,017032210660,2,PLAIN,REGULAR
OLD HOME,017032210659,2,RASPBERRY,MISSING
OLD HOME,017032210658,2,STRAWBERRY,NONFAT
OLD HOME,017032210662,2,VANILLA,LOW FAT
OLD HOME,017032210652,1,VANILLA,MISSING
OLD HOME,037032210601,0.5,VANILLA,FULL FAT
OLD HOME,0370322617,0.5,VANILLA,NONFAT
OLD HOME,017032210654,1,VANILLA,NONFAT
OLD HOME,017032210666,2,VANILLA,NONFAT
OLD HOME GAYMONT,0170322344,1.5,BLACK CHERRY,LOW FAT
OLD HOME GAYMONT,0170322341,1.5,BLUEBERRY,LOW FAT
OLD HOME GAYMONT,0170322346,1.5,LEMON,1% MILKFAT
OLD HOME GAYMONT,0170322347,1.5,PEACH,LOW FAT
OLD HOME GAYMONT,0170322342,1.5,RASPBERRY,LOW FAT
OLD HOME GAYMONT,0170322340,1.5,STRAWBERRY,LOW FAT
OLD HOME SAFFLOWER POWER,0170322253,0.375,BLACK CHERRY,NONFAT
OLD HOME SAFFLOWER POWER,0170322259,0.375,BANANA MANGO,NONFAT
OLD HOME SAFFLOWER POWER,0170322254,0.375,BLUEBERRY,NONFAT
OLD HOME SAFFLOWER POWER,0170322269,0.375,MARIONBERRY,NONFAT
OLD HOME SAFFLOWER POWER,0170322261,0.375,PEACH,NONFAT
OLD HOME SAFFLOWER POWER,0170322267,0.375,MISSING,NONFAT
OLD HOME SAFFLOWER POWER,0170322262,0.375,RED RASPBERRY,NONFAT
OLD HOME SAFFLOWER POWER,0170322264,0.375,STRAWBERRY,NONFAT
OLD HOME 100 CALORIE,0470322679,0.3125,BLACK CHERRY,NONFAT
OLD HOME 100 CALORIE,0470322676,0.3125,BLUEBERRY,NONFAT
OLD HOME 100 CALORIE,0170322675,0.3125,FRENCH VANILLA,NONFAT
OLD HOME 100 CALORIE,0370322686,0.3125,KEY LIME PIE,NONFAT
OLD HOME 100 CALORIE,0570322680,0.3125,LEMON,NONFAT
OLD HOME 100 CALORIE,0470322682,0.3125,PEACH,NONFAT
OLD HOME 100 CALORIE,0170322650,0.3125,MISSING,NONFAT
OLD HOME 100 CALORIE,0170322648,0.3125,MISSING,NONFAT
OLD HOME 100 CALORIE,0170322652,0.3125,MISSING,NONFAT
OLD HOME 100 CALORIE,0170322647,0.3125,MISSING,NONFAT
OLD HOME 100 CALORIE,0170322651,0.3125,MISSING,NONFAT
OLD HOME 100 CALORIE,0470322678,0.3125,RASPBERRY,NONFAT
OLD HOME 100 CALORIE,0370322677,0.3125,STRAWBERRY,NONFAT
OLD HOME 100 CALORIE,0270322681,0.3125,STRAWBERRY BANANA,NONFAT
PAVEL,018672610014,1,PLAIN,FAT FREE
PAVEL,018672610020,2,PLAIN,LOW FAT
PAVEL,018672610025,2,PLAIN,NONFAT
PAVEL,018672610018,2,PLAIN,WHOLE
PAVEL,018672610036,2,VANILLA,LOW FAT
HILAND,0172060693,0.375,APPLE & SPICE,NONFAT
HILAND,0172060487,0.375,BLACK CHERRY,LOW FAT
HILAND,0172060493,0.375,BLACK CHERRY,NONFAT
HILAND,0172060484,0.375,BANANA SPLIT,LOW FAT
HILAND,0172060489,0.5,BLUEBERRY,LOW FAT
HILAND,0172060492,0.375,BLUEBERRY,NONFAT
HILAND,0172060482,0.375,CHERRY VANILLA,LOW FAT
HILAND,0272060499,0.375,CHERRY VANILLA,NONFAT
HILAND,0172060490,0.5,LEMON,LOW FAT
HILAND,0172060447,0.375,LEMON,NONFAT
HILAND,0272060488,0.375,PEACH,LOW FAT
HILAND,0172060496,0.375,PEACH,NONFAT
HILAND,0172060453,1.5,PEACH,NONFAT
HILAND,0172060694,0.375,MISSING,FAT FREE
HILAND,0172060480,0.375,PLAIN,LOW FAT
HILAND,0172060457,1.5,PLAIN,LOW FAT
HILAND,0172060481,0.375,RASPBERRY,LOW FAT
HILAND,0272060692,0.375,RASPBERRY,NONFAT
HILAND,0172060459,1.5,STRAWBERRY,LOW FAT
HILAND,0172060486,0.375,STRAWBERRY,LOW FAT
HILAND,0172060494,0.375,STRAWBERRY,NONFAT
HILAND,0172060454,1.5,STRAWBERRY,NONFAT
HILAND,0172060485,0.375,STRAWBERRY BANANA,LOW FAT
HILAND,0172060495,0.375,STRAWBERRY BANANA,NONFAT
HILAND,0172060455,1.5,STRAWBERRY BANANA,NONFAT
HILAND,0272060497,0.375,VANILLA,LOW FAT
HILAND,0172060483,0.375,VANILLA,NONFAT
HILAND,0172060456,1.5,VANILLA,1% LOWFAT
HILAND HEALTH WISE,0172060441,1,MISSING,1% MILKFAT
HILAND HEALTH WISE,0172060442,1,MISSING,LOW FAT
HILAND HEALTH WISE,0172060444,1,STRAWBERRY,1% MILKFAT
HILAND HEALTH WISE,0172060443,1,VANILLA,LOW FAT
PRAIRIE FARMS,017273034433,0.375,BLACK CHERRY,FAT FREE
PRAIRIE FARMS,017273034412,0.375,BLACK CHERRY,99% FAT FREE
PRAIRIE FARMS,017273034413,0.375,BLACKBERRY,99% FAT FREE
PRAIRIE FARMS,017273034432,0.375,BANANA PUDDING,NONFAT
PRAIRIE FARMS,017273034435,0.375,BOSTON CREAM PIE,FAT FREE
PRAIRIE FARMS,017273034434,0.375,BLUEBERRY,NONFAT
PRAIRIE FARMS,017273034414,0.375,BLUEBERRY,99% FAT FREE
PRAIRIE FARMS,017273034416,0.375,CHERRY VANILLA,99% FAT FREE
PRAIRIE FARMS,017273034436,0.375,CINNAMON ROLL,NONFAT
PRAIRIE FARMS,017273034418,0.375,PINEAPPLE,99% FAT FREE
PRAIRIE FARMS,017273034437,0.375,PEACH,NONFAT
PRAIRIE FARMS,017273034417,0.375,PEACH,99% FAT FREE
PRAIRIE FARMS,017273034439,0.375,MISSING,FAT FREE
PRAIRIE FARMS,017273034415,0.375,POMEGRANATE,99% FAT FREE
PRAIRIE FARMS,017273034438,0.375,PINEAPPLE UPSDDWN CK,NONFAT
PRAIRIE FARMS,017273034440,0.375,RED RASPBERRY,FAT FREE
PRAIRIE FARMS,017273034419,0.375,RED RASPBERRY,99% FAT FREE
PRAIRIE FARMS,017273034441,0.375,STRAWBERRY,FAT FREE
PRAIRIE FARMS,017273034420,0.375,STRAWBERRY,99% FAT FREE
PRAIRIE FARMS,017273034422,0.375,STRAWBERRY CHSCK,99% FAT FREE
PRAIRIE FARMS,017273034442,0.375,STRAWBERRY BANANA,FAT FREE
PRAIRIE FARMS,017273034421,0.375,STRAWBERRY BANANA,99% FAT FREE
PRAIRIE FARMS,017273034443,0.375,VANILLA,FAT FREE
PRAIRIE FARMS,017273034423,0.375,VANILLA,99% FAT FREE
PRAIRIE FARMS,017273034444,0.375,VERY CHERRY,FAT FREE
PRAIRIE FARMS,017273034424,0.375,WHITE CHOC RASPBERRY,99% FAT FREE
ROBERTS,017119520268,0.375,BLACK CHERRY,NONFAT
ROBERTS,017119520269,0.375,MISSING,NONFAT
ROBERTS,017119520257,0.375,BLUEBERRY,LOW FAT
ROBERTS,017119520265,0.375,BLUEBERRY,NONFAT
ROBERTS,017119520254,0.375,CHERRY VANILLA,LOW FAT
ROBERTS,017119520259,0.375,PEACH,LOW FAT
ROBERTS,017119520267,0.375,PEACH,NONFAT
ROBERTS,017119520261,0.375,RASPBERRY,LOW FAT
ROBERTS,017119520255,0.375,STRAWBERRY,LOW FAT
ROBERTS,017119520263,0.375,STRAWBERRY,NONFAT
ROBERTS,017119520256,0.375,STRAWBERRY BANANA,LOW FAT
ROBERTS,017119520264,0.375,STRAWBERRY BANANA,NONFAT
ROBERTS,017119520258,0.375,VANILLA,LOW FAT
ROBERTS,017119520266,0.375,VANILLA,NONFAT
ROBERTS,017119520262,0.375,VERY CHERRY,NONFAT
ROBERTS,017119520260,0.375,WHITE CHOC RASPBERRY,LOW FAT
WILDWOOD NATURAL FOODS,013087120002,0.375,BLUEBERRY,NONFAT
WILDWOOD NATURAL FOODS,013087120003,0.375,PEACH,NONFAT
WILDWOOD NATURAL FOODS,013087120015,0.375,PLAIN,LOW FAT
WILDWOOD NATURAL FOODS,013087120016,1.5,PLAIN,NONFAT
WILDWOOD NATURAL FOODS,013087120004,0.375,RASPBERRY,NONFAT
WILDWOOD NATURAL FOODS,013087120005,0.375,STRAWBERRY,NONFAT
WILDWOOD NATURAL FOODS,013087120006,0.375,VANILLA,NONFAT
WILDWOOD NATURAL FOODS,013087120017,1.5,VANILLA,NONFAT
WHITE MOUNTAIN,018647910021,1,PLAIN,WHOLE
WHITE MOUNTAIN,018647910022,2,PLAIN,WHOLE
WHITE MOUNTAIN,018647910031,1,PLAIN,NONFAT
WHITE MOUNTAIN,018647910032,2,PLAIN,NONFAT
REDWOOD HILL FARM,018131220063,0.375,APRICOT MANGO,WHOLE
REDWOOD HILL FARM,018131220065,0.375,BLUEBERRY,LOW FAT
REDWOOD HILL FARM,028131210178,2,PLAIN,WHOLE
REDWOOD HILL FARM,018131220061,0.375,PLAIN,LOW FAT
REDWOOD HILL FARM,018131220064,0.375,STRAWBERRY,WHOLE
REDWOOD HILL FARM,018131220062,0.375,VANILLA,LOW FAT
REDWOOD HILL FARM,038131242992,2,VANILLA,LOW FAT
RICERA,8198893101,0.375,BLUEBERRY,LOW FAT
RICERA,8198893102,0.375,PEACH,LOW FAT
RICERA,8198893103,0.375,STRAWBERRY,LOW FAT
RICERA,8198893104,0.375,VANILLA,LOW FAT
ROMI'S,714635511264,2,PLAIN,LOW FAT
ROMI'S,724635511266,2,PLAIN,WHOLE
RONNYBROOK,714610413005,0.375,COCONUT,WHOLE
RONNYBROOK,714610413002,0.375,MISSING,WHOLE
RONNYBROOK,714610413006,0.375,PEACH,WHOLE
RONNYBROOK,714610413004,0.375,STRAWBERRY,WHOLE
RONNYBROOK,714610413003,0.375,VANILLA,WHOLE
SANO,8154312203,0.5313,RASPBERRY & PEACH,LOW FAT
SANO,8154312201,0.5,TRIPLE CHERRY,LOW FAT
SANO,8154312202,0.5313,VERY BERRY,LOW FAT
SEVEN STARS FARM,02543193,2,MAPLE,WHOLE
SEVEN STARS FARM,01543196,2,MAPLE,1% MILKFAT
SEVEN STARS FARM,01543194,2,PLAIN,LOW FAT
SEVEN STARS FARM,02543191,2,PLAIN,WHOLE
SEVEN STARS FARM,02543192,2,VANILLA,MISSING
"NANCYS",014319211330,0.5,BLACKBERRY,NONFAT
"NANCYS",014319211021,0.5,BLACKBERRY,WHOLE
"NANCYS",014319261020,0.375,BLUEBERRY,LOW FAT
"NANCYS",014319211331,0.5,BLUEBERRY,NONFAT
"NANCYS",014319211022,0.5,BLUEBERRY,WHOLE
"NANCYS",014319210032,0.5,BLUEBERRY,1.5% MILKFAT
"NANCYS",014319211332,0.5,CHERRY,NONFAT
"NANCYS",014319211023,0.5,CHERRY,WHOLE
"NANCYS",014319211026,0.5,HONEY STRAWBERRY,WHOLE
"NANCYS",014319261070,0.375,MANGO,LOW FAT
"NANCYS",014319210013,0.5,MAPLE,LOW FAT
"NANCYS",014319211333,0.5,PEACH,NONFAT
"NANCYS",014319211024,0.5,PEACH,WHOLE
"NANCYS",014319210034,0.5,PEACH,1.5% MILKFAT
"NANCYS",014319261200,2,PLAIN,NONFAT
"NANCYS",014319216650,1,PLAIN,LOW FAT
"NANCYS",014319210011,0.5,PLAIN,LOW FAT
"NANCYS",014319210220,4,PLAIN,LOW FAT
"NANCYS",014319210310,0.5,PLAIN,NONFAT
"NANCYS",014319210350,1,PLAIN,NONFAT
"NANCYS",014319210450,1,PLAIN,NONFAT
"NANCYS",014319210300,2,PLAIN,NONFAT
"NANCYS",014319210400,2,PLAIN,NONFAT
"NANCYS",014319210395,4,PLAIN,NONFAT
"NANCYS",014319210100,2,MISSING,WHOLE
"NANCYS",014319210500,2,PLAIN,WHOLE
"NANCYS",014319210105,2,PLAIN,LOW FAT
"NANCYS",014319210600,2,PLAIN,LOW FAT
"NANCYS",014319210010,0.5,MISSING,LOW FAT
"NANCYS",014319210200,4,MISSING,WHOLE
"NANCYS",014319211334,0.5,RASPBERRY,NONFAT
"NANCYS",014319211025,0.5,RASPBERRY,WHOLE
"NANCYS",014319210035,0.5,RASPBERRY,1.5% MILKFAT
"NANCYS",014319261050,0.375,STRAWBERRY,LOW FAT
"NANCYS",014319211335,0.5,STRAWBERRY,NONFAT
"NANCYS",014319210036,0.5,STRAWBERRY,1.5% MILKFAT
"NANCYS",014319261080,0.375,VANILLA,LOW FAT
"NANCYS",014319210014,0.5,VANILLA,LOW FAT
"NANCYS",014319210301,2,VANILLA,NONFAT
"NANCYS",014319210401,2,VANILLA,NONFAT
STRAUS FAMILY CREAMERY,718483071,1,PLAIN,NONFAT
STRAUS FAMILY CREAMERY,718483070,2,PLAIN,NONFAT
STRAUS FAMILY CREAMERY,718483081,1,PLAIN,WHOLE
STRAUS FAMILY CREAMERY,718483080,2,PLAIN,WHOLE
STRAUS FAMILY CREAMERY,718483082,2,VANILLA,WHOLE
SUGAR RIVER,813607411,0.375,BLUEBERRY,1% MILKFAT
SUGAR RIVER,823607412,1.5,VANILLA,LOW FAT
VOSKOS,715854347000,0.3313,WILD BLUEBERRY,NONFAT
VOSKOS,715854325000,0.5,EXOTIC FIG,LOW FAT
VOSKOS,715854345000,0.3313,FIG,NONFAT
VOSKOS,715854349000,0.3313,HONEY,NONFAT
VOSKOS,715854375000,0.3313,HONEY,NONFAT
VOSKOS,715854329000,0.5,HONEY,REGULAR
VOSKOS,715854340500,0.3313,HONEY VANILLA BEAN,NONFAT
VOSKOS,715854371000,0.3313,PLAIN,NONFAT
VOSKOS,715854311000,0.5,PLAIN,NONFAT
VOSKOS,715854315500,0.5,PLAIN,LOW FAT
VOSKOS,715854312000,0.5,PLAIN,LOW FAT
VOSKOS,715854321000,0.5,STRAWBERRY,REGULAR
VOSKOS,715854376000,0.3313,VANILLA BEAN,NONFAT
SUNRISE FARMS,031823112,1,PLAIN,MISSING
THE GREEK GODS,017835551050,0.375,FIG,LOW FAT
THE GREEK GODS,017835553000,0.375,HONEY,LOW FAT
THE GREEK GODS,017835557000,1.5,HONEY,LOW FAT
THE GREEK GODS,017835557005,1.5,MISSING,LOW FAT
THE GREEK GODS,017835555000,1.5,PLAIN,LOW FAT
THE GREEK GODS,017835554000,0.375,PLAIN,NONFAT
THE GREEK GODS,017835558000,1.5,PLAIN,NONFAT
THE GREEK GODS,017835550050,0.375,POMEGRANATE,LOW FAT
THE GREEK GODS,017835554100,0.375,MISSING,REDUCED FAT
SIGGIS,8198248106,0.375,MISSING,NONFAT
SIGGIS,8198248101,0.375,BLUEBERRY,NONFAT
SIGGIS,8198248108,0.375,GRAPEFRUIT,NONFAT
SIGGIS,8198248102,0.375,ORANGE GINGER,NONFAT
SIGGIS,8198248100,0.375,PLAIN,NONFAT
SIGGIS,8198248105,1,PLAIN,NONFAT
SIGGIS,8198248104,0.375,MISSING,NONFAT
SIGGIS,8198248107,0.375,VANILLA,NONFAT
TILLAMOOK,017283040009,0.375,DARK CHERRY,LOW FAT
TILLAMOOK,017283040016,0.375,MISSING,LOW FAT
TILLAMOOK,017283040018,0.375,CHERRY VANILLA,LOW FAT
TILLAMOOK,017283040316,0.375,CRANBERRY RASPBERRY,LOW FAT
TILLAMOOK,017283040010,0.375,MISSING,LOW FAT
TILLAMOOK,017283040311,0.375,FRENCH VANILLA BEAN,LOW FAT
TILLAMOOK,017283040317,0.375,KEY LIME,LOW FAT
TILLAMOOK,017283040011,0.375,LEMON SQUEEZE,LOW FAT
TILLAMOOK,017283040004,0.375,MARIONBERRY,LOW FAT
TILLAMOOK,017283040313,0.375,MISSING,LOW FAT
TILLAMOOK,017283040000,0.375,MISSING,LOW FAT
TILLAMOOK,017283040005,0.375,OREGON STRAWBERRY,LOW FAT
TILLAMOOK,017283040008,0.375,PEACH,LOW FAT
TILLAMOOK,017283040019,0.375,PASSION FRUT ORNG GV,LOW FAT
TILLAMOOK,017283040006,0.375,RASPBERRY,LOW FAT
TILLAMOOK,017283040020,0.375,STRAWBERRY LEMONADE,LOW FAT
TILLAMOOK,017283040002,0.375,VANILLA BEAN,LOW FAT
TILLAMOOK,017283040017,0.375,WATERMELON,LOW FAT
SO DELICIOUS,714447391112,0.375,BANANA STRAWBERRY,LOW FAT
SO DELICIOUS,714447391101,0.375,BLUEBERRY,LOW FAT
